code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique,classe_therapeutique,taux_remboursement_cnss
6118001400171,PHARMIS,RELIDOMIDE 5 (5MG),LENALIDOMIDE,5,MG,GELULE,1 BOITE 63 GELULE,41389.00,40586.00,41389.00,A,IMMUNOMODULATEUR,70
6118001400102,PHARMIS,RELITREXED 100 MG,PEMETREXED,100,MG,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,1586.00,1323.00,1586.00,A,ANTINEOPLASIQUE CYTOTOXIQUE,70
6118001400126,PHARMIS,RELITREXED 100 MG,PEMETREXED,100,MG,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,1 BOITE 4 FLACON,4515.00,4236.00,4515.00,A,ANTINEOPLASIQUE CYTOTOXIQUE,70
6118001400119,PHARMIS,RELITREXED 500 MG,PEMETREXED,500,MG,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,6197.00,5967.00,6197.00,A,ANTINEOPLASIQUE CYTOTOXIQUE,70
6118001400133,PHARMIS,RELITREXED 500 MG,PEMETREXED,500,MG,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,1 BOITE 4 FLACON,18950.00,18587.00,18950.00,A,ANTINEOPLASIQUE CYTOTOXIQUE,70
6118001170258,PFIZER,RELPAX,ELETRIPTAN,20,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 2 COMPRIME,100.40,62.70,100.40,A,ANTI-MIGRAINEUX,70
6118001170265,PFIZER,RELPAX,ELETRIPTAN,20,MG,COMPRIME ENROBE,1 BOITE 6 COMPRIME,284.00,189.10,284.00,A,ANTI-MIGRAINEUX,70
6118001170272,PFIZER,RELPAX,ELETRIPTAN,40,MG,COMPRIME ENROBE,1 BOITE 2 COMPRIME,90.40,56.50,90.40,A,ANTI-MIGRAINEUX,70
6118001170289,PFIZER,RELPAX,ELETRIPTAN,40,MG,COMPRIME ENROBE,1 BOITE 6 COMPRIME,251.00,157.10,251.00,A,ANTI-MIGRAINEUX,70
6118001430536,VIATRIS,RELPAX 40 MG,ELETRIPTAN,40,MG,COMPRIME PELLICULE,1 BOITE 2 COMPRIME PELLICULE,96.70,60.20,96.70,A,ANTI-MIGRAINEUX,70
6118001430543,VIATRIS,RELPAX 40 MG,ELETRIPTAN,40,MG,COMPRIME PELLICULE,1 BOITE 6 COMPRIME PELLICULE,251.00,157.10,251.00,A,ANTI-MIGRAINEUX,70
6118001143429,GSK,RELVAR ELLIPTA 184µG/22µG/DOSE, VILANTEROL, 22,µG,POUDRE POUR INHALATION,1 INHALATEUR 30 DOSE,430.00,285.00,430.00,A,ANTIASTHMATIQUE,70
6118001143429,GSK,RELVAR ELLIPTA 184µG/22µG/DOSE,FLUTICASONE,184 ,µG,POUDRE POUR INHALATION,1 INHALATEUR 30 DOSE,430.00,285.00,430.00,A,ANTIASTHMATIQUE,70
6118001143399,GSK,RELVAR ELLIPTA 92µG/22µG/DOSE,FLUTICASONE,92 ,µG,POUDRE POUR INHALATION,1 INHALATEUR 30 DOSE,430.00,285.00,430.00,A,ANTIASTHMATIQUE,70
6118001143399,GSK,RELVAR ELLIPTA 92µG/22µG/DOSE, VILANTEROL, 22,µG,POUDRE POUR INHALATION,1 INHALATEUR 30 DOSE,430.00,285.00,430.00,A,ANTIASTHMATIQUE,70
6118000080800,COOPER MAROC,REMERON 30,MIRTAZAPINE,30,MG,COMPRIME ENROBE SECABLE,1 BOITE 14 COMPRIME,170.10,106.00,170.10,A,ANTIDEPRESSEUR,70
6118001184293,MAPHAR,REMICADE,INFLIXIMAB,100,MG,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,1 FLACON 20 ML,4576.00,4299.00,4267.00,A,IMMUNOSUPPRESSEUR,70
6118000070740,AFRIC-PHAR,REMOX,PIROXICAM,1,%,CREME,1 TUBE 50 G,36.20,22.60,36.20,A,ANTI-INFLAMMATOIRE NON STEROIDIEN,0
6118000070771,AFRIC-PHAR,REMOX,PIROXICAM,20,MG,GELULE,1 BOITE 10 GELULE,37.20,23.30,37.20,A,ANTI-INFLAMMATOIRE NON STEROIDIEN,70
6118000070733,AFRIC-PHAR,REMOX,PIROXICAM,1,%,CREME,1 TUBE 20 G,18.10,11.30,18.10,A,ANTI-INFLAMMATOIRE NON STEROIDIEN,0
